Time_gap_onramp,Distance_gap_upcoming_vehicle,Time_gap_upcoming_vehicle,Is_gap_accepted,Response_time,Participant_no,Dwell_to_mirror
4,20,4,1,1195,3,0.826086956521739
4,20,4,1,1175,3,0.739130434782609
4,20,4,1,1865,3,0.621621621621622
4,20,4,1,923,3,1
4,20,4,1,1335,3,0.846153846153846
4,20,4,1,1048,3,0.55
4,20,4,1,1264,3,0.48
4,20,4,1,1992,3,0.538461538461538
4,20,4,1,1097,3,0.761904761904762
4,20,4,1,1036,3,0.6
4,20,4,1,1498,3,0.517241379310345
4,20,4,1,1046,3,0.55
4,20,4,1,844,3,0.5625
4,20,4,1,929,3,0.722222222222222
4,20,4,1,1426,3,0.642857142857143
4,20,4,1,1250,3,0.76
4,20,4,1,2068,3,0.902439024390244
4,20,4,1,1067,3,0.571428571428571
4,20,4,1,1183,3,0.739130434782609
4,20,4,1,768,4,0.733333333333333
4,20,4,1,2173,4,0.558139534883721
4,20,4,1,1027,4,0.45
4,20,4,1,1864,4,0.648648648648649
4,20,4,1,1465,4,0.517241379310345
4,20,4,1,1573,4,0.67741935483871
4,20,4,1,2098,4,0.560975609756098
4,20,4,1,1943,4,0.763157894736842
4,20,4,1,1633,4,0.5625
4,20,4,1,1015,4,0.55
4,20,4,1,1864,4,0.675675675675676
4,20,4,1,965,4,0.684210526315789
4,20,4,1,1019,4,0.65
4,20,4,1,1015,4,0.5
4,20,4,1,1196,5,0.347826086956522
4,20,4,1,1115,5,1
4,20,4,1,1881,5,0.810810810810811
4,20,4,1,1485,6,0.448275862068966
4,20,4,1,1067,6,0.571428571428571
4,20,4,1,1169,6,0.391304347826087
4,20,4,1,923,6,0.388888888888889
4,20,4,1,1331,6,0.423076923076923
4,20,4,1,992,6,0.473684210526316
4,20,4,1,1044,6,0.75
4,20,4,1,915,6,0.666666666666667
4,20,4,1,834,6,0.625
4,20,4,1,975,6,0.473684210526316
4,20,4,1,775,6,0.533333333333333
4,20,4,1,1192,6,0.391304347826087
4,20,4,1,848,6,0.6875
4,20,4,1,980,6,0.736842105263158
4,20,4,1,1067,6,0.714285714285714
4,20,4,1,957,6,0.578947368421053
4,20,4,1,1481,6,0.413793103448276
4,20,4,1,1889,7,0.378378378378378
4,20,4,1,2089,7,0.634146341463415
4,20,4,1,1966,7,0.487179487179487
4,20,4,1,1343,7,0.0384615384615385
4,20,4,1,2015,7,0.475
4,20,4,1,2146,7,0.476190476190476
4,20,4,1,1766,7,0.457142857142857
4,20,4,1,1992,7,0.461538461538462
4,20,4,1,1531,7,0.4
4,20,4,1,2247,7,0.431818181818182
4,20,4,1,2465,7,0.36734693877551
4,20,4,1,1765,7,0.428571428571429
4,20,4,1,1935,7,0.342105263157895
4,20,4,1,1798,7,0.342857142857143
4,20,4,1,1868,7,0.432432432432432
4,20,4,1,2930,7,0.344827586206897
4,20,4,1,2264,7,0.466666666666667
4,20,4,1,2115,7,0.571428571428571
4,20,4,1,1728,7,0.411764705882353
4,20,4,1,1321,7,0.423076923076923
4,20,4,1,2415,7,0.375
4,20,4,1,1714,7,0.382352941176471
4,20,4,1,2465,7,0.244897959183673
4,20,4,1,1462,7,0.310344827586207
4,20,4,1,1931,7,0.421052631578947
4,20,4,1,981,8,0.736842105263158
4,20,4,1,795,8,0.666666666666667
4,20,4,1,723,8,0.571428571428571
4,20,4,1,664,8,0.692307692307692
4,20,4,1,982,8,0.736842105263158
4,20,4,1,1366,8,0.777777777777778
4,20,4,1,840,8,0.6875
4,20,4,1,889,8,0.764705882352941
4,20,4,1,584,8,0.636363636363636
4,20,4,1,977,8,0.789473684210526
4,20,4,1,1115,8,0.818181818181818
4,20,4,1,717,8,0.714285714285714
4,20,4,1,531,8,0.7
4,20,4,1,937,8,0.833333333333333
4,20,4,1,565,8,0.727272727272727
4,20,4,1,1504,9,0.7
4,20,4,1,1285,9,0.8
4,20,4,1,1115,9,0.954545454545455
4,20,4,1,1131,9,1
4,20,4,1,1143,9,0.590909090909091
4,20,4,1,1736,9,0.5
4,20,4,1,778,9,0.666666666666667
4,20,4,1,664,9,0.923076923076923
4,20,4,1,915,10,1
4,20,4,1,1686,10,0.636363636363636
4,20,4,1,1064,10,0.761904761904762
4,20,4,1,1434,11,0.821428571428571
4,20,4,1,1279,11,0.48
4,20,4,1,1895,11,0.648648648648649
4,20,4,1,1401,11,0.464285714285714
4,20,4,1,1038,11,0.6
4,20,4,1,1931,11,0.368421052631579
4,20,4,1,1215,11,0.75
4,20,4,1,1274,11,0.48
4,20,4,1,2064,11,0.439024390243902
4,20,4,1,946,11,0.833333333333333
4,20,4,1,923,11,0.611111111111111
4,20,4,1,1471,11,0.482758620689655
4,20,4,1,1514,11,0.666666666666667
4,20,4,1,1285,11,0.76
4,20,4,1,1482,11,0.655172413793103
4,20,4,1,1331,11,0.692307692307692
4,20,4,1,1376,11,0.703703703703704
4,20,4,1,1315,12,0.461538461538462
4,20,4,1,1635,12,0.53125
4,20,4,1,1183,13,0.782608695652174
4,20,4,1,1177,13,0.521739130434783
4,20,4,1,1595,13,0.645161290322581
4,20,4,1,1681,13,0.606060606060606
4,20,4,1,1516,13,0.566666666666667
4,20,4,1,1114,13,0.636363636363636
4,20,4,1,1165,13,0.478260869565217
4,20,4,1,1087,13,0.80952380952381
4,20,4,1,1478,13,0.517241379310345
4,20,4,1,1271,13,0.56
4,20,4,1,1165,13,0.478260869565217
4,20,4,1,989,13,0.473684210526316
4,20,4,1,1514,13,0.6
4,20,4,1,931,13,0.666666666666667
4,20,4,1,1314,13,0.5
4,20,4,1,893,13,0.529411764705882
4,20,4,1,1729,14,0.441176470588235
4,20,4,1,1372,14,0.592592592592593
4,20,4,1,1989,14,0.487179487179487
4,20,4,1,2165,14,0.790697674418605
4,20,4,1,1714,14,0.470588235294118
4,20,4,1,2346,14,0.521739130434783
4,20,4,1,2388,14,0.361702127659574
4,20,4,1,2017,14,0.45
4,20,4,1,2039,14,0.6
4,20,4,1,1775,14,0.542857142857143
4,20,4,1,1765,14,0.485714285714286
4,20,4,1,2415,14,0.645833333333333
4,20,4,1,1898,14,0.567567567567568
4,20,4,1,2382,14,0.638297872340426
4,20,4,1,1815,15,1
4,20,4,1,1745,15,0.676470588235294
4,20,4,1,1422,15,1
4,20,4,1,898,15,0.529411764705882
4,20,4,1,1664,15,0.666666666666667
4,20,4,1,1850,15,0.783783783783784
4,20,4,1,2193,15,0.511627906976744
4,20,4,1,915,15,0.888888888888889
4,20,4,1,816,15,1
4,20,4,1,1016,15,0.85
4,20,4,1,1677,15,0.575757575757576
4,20,4,1,1417,15,0.428571428571429
4,20,4,1,929,16,0.666666666666667
4,20,4,1,1388,16,0.740740740740741
4,20,4,1,1181,16,0.608695652173913
4,20,4,1,1565,16,0.516129032258065
4,20,4,1,2879,17,0.491228070175439
4,20,4,1,3372,17,0.611940298507463
4,20,4,1,864,17,0.764705882352941
4,20,4,1,1495,18,0.551724137931034
4,20,4,1,2333,18,0.304347826086957
4,20,4,1,2091,18,0.341463414634146
4,20,4,1,1770,18,0.457142857142857
4,20,4,1,2064,18,0.365853658536585
4,20,4,1,2868,18,0.403508771929825
4,20,4,1,2517,18,0.38
4,20,4,1,868,18,0.529411764705882
4,20,4,1,1328,18,0.269230769230769
4,20,4,1,2193,18,0.395348837209302
4,20,4,1,2367,18,0.234042553191489
4,20,4,1,2169,18,0.348837209302326
4,20,4,1,2515,18,0.3
4,20,4,1,1773,18,0.371428571428571
4,20,4,1,1193,18,0.347826086956522
4,20,4,1,1821,18,0.388888888888889
4,20,4,1,1365,18,0.37037037037037
4,20,4,1,1908,18,0.421052631578947
4,20,4,1,2365,18,0.382978723404255
4,20,4,1,1475,18,0.379310344827586
4,20,4,1,1225,18,0.416666666666667
4,20,4,1,1889,18,0.216216216216216
4,20,4,1,1915,18,0.368421052631579
4,20,4,1,985,18,0.315789473684211
4,20,4,1,2215,18,0.431818181818182
4,20,4,1,685,20,0.769230769230769
4,20,4,1,1116,20,0.590909090909091
4,20,4,1,1376,20,0.518518518518518
4,20,4,1,1565,20,0.580645161290323
4,20,4,1,1165,20,1
4,20,4,1,1491,20,0.931034482758621
4,20,4,1,617,20,1
4,20,4,1,1221,20,0.583333333333333
4,20,4,1,670,20,0.769230769230769
4,20,4,1,783,20,0.866666666666667
4,20,4,1,665,20,0.692307692307692
4,20,4,1,971,20,0.684210526315789
4,20,4,1,871,20,0.647058823529412
4,20,4,1,829,20,0.625
4,20,4,1,615,20,1
4,20,4,1,764,20,0.733333333333333
