tta_condition,d_condition,tta_or_condition,is_gap_accepted,RT_merge,RT_wait,subj_id
3.0,10.0,3.0,0.11248236718705415,1.1779087934141566,1.250985503957028,all
3.0,10.0,3.5,0.0933081860642332,1.2022661428023327,1.2892402778670884,all
3.0,10.0,4.0,0.07836498020708202,1.2186939244438177,1.3184056140878733,all
3.0,10.0,4.5,0.0651543750455466,1.23296511485531,1.3460616018067753,all
3.0,10.0,5.0,0.05445640784877072,1.2430199386421674,1.3685054831638124,all
3.0,10.0,5.5,0.04588299285802081,1.2494818128883478,1.3859653384151098,all
3.0,10.0,6.0,0.039069254291236415,1.2528931294187884,1.398668593967058,all
3.0,10.0,6.5,0.03369305985288783,1.2537004238319622,1.4068448337977275,all
3.0,10.0,7.0,0.029013905262442238,1.2542881100670802,1.4138863512425406,all
3.0,20.0,3.0,0.17200657677058537,1.19641843891078,1.3135189045483309,all
3.0,20.0,3.5,0.14679525158889262,1.222894201171875,1.3600012640632626,all
3.0,20.0,4.0,0.12630867884991587,1.2410518253429061,1.3958765448594053,all
3.0,20.0,4.5,0.10759013753405804,1.2568616554124015,1.429968832835189,all
3.0,20.0,5.0,0.09192169017641921,1.2681777673628425,1.4578193578838419,all
3.0,20.0,5.5,0.0789863647946664,1.2756549864567541,1.479655664340852,all
3.0,20.0,6.0,0.06842850350216924,1.2798737551052868,1.4957308487991727,all
3.0,20.0,6.5,0.05989639904378924,1.281319603518585,1.5063511656826578,all
3.0,20.0,7.0,0.05233803180902093,1.2824421497562393,1.5154461581519976,all
3.0,30.0,3.0,0.2506972661681104,1.2088068487861041,1.3771164959449913,all
3.0,30.0,3.5,0.21977920249826594,1.2373308924518827,1.4331723909397711,all
3.0,30.0,4.0,0.19356846943649272,1.257270468419825,1.4770278466488738,all
3.0,30.0,4.5,0.1688006725225417,1.2747293685620524,1.5188714691820941,all
3.0,30.0,5.0,0.14735941335810482,1.2874763708255341,1.5533575304046832,all
3.0,30.0,5.5,0.12911450873975205,1.296179773579635,1.5806944728617982,all
3.0,30.0,6.0,0.11381208876380935,1.3014418751126315,1.6011450537291276,all
3.0,30.0,6.5,0.10113874737505503,1.3037720569329774,1.615076376833259,all
3.0,30.0,7.0,0.0897008341591572,1.305673157328759,1.627053887566867,all
3.0,40.0,3.0,0.34739421027297596,1.2141290837285268,1.4396356939149162,all
3.0,40.0,3.5,0.3122657452203563,1.2445441149882133,1.5064419970690521,all
3.0,40.0,4.0,0.28117878679710806,1.2662551142305203,1.5594054664881085,all
3.0,40.0,4.5,0.25077983288870437,1.2854290870410694,1.6101681475638998,all
3.0,40.0,5.0,0.22355017064497798,1.299748298441491,1.6523956342281085,all
3.0,40.0,5.5,0.1996559520645109,1.3098708655407685,1.6862626033490709,all
3.0,40.0,6.0,0.17905136130824553,1.3164016049260665,1.7120345427264814,all
3.0,40.0,6.5,0.16155348409289352,1.3198583701815547,1.7301433358691136,all
3.0,40.0,7.0,0.14544986260784587,1.3227816452825738,1.7458214484530843,all
3.0,50.0,3.0,0.45725141045894224,1.211711836407912,1.4989845923135665,all
3.0,50.0,3.5,0.42050098763654414,1.243759256793883,1.5775300181908778,all
3.0,50.0,4.0,0.3865271479045803,1.267153681018249,1.6405413787714191,all
3.0,50.0,4.5,0.3521270487947118,1.2880485318114203,1.7011721237475506,all
3.0,50.0,5.0,0.3202291439164961,1.304036682316894,1.7520244429954555,all
3.0,50.0,5.5,0.291350897924622,1.3157384809380472,1.793237042127888,all
3.0,50.0,6.0,0.2657352371765786,1.3237387437171408,1.8250968862795014,all
3.0,50.0,6.5,0.24341820444380227,1.3285456417951953,1.8481017331685,all
3.0,50.0,7.0,0.22245612070584705,1.3327232780972778,1.868172252653988,all
3.5,10.0,3.0,0.17292926640339298,1.2357170903491776,1.3474450467570063,all
3.5,10.0,3.5,0.14937213961307036,1.2614053308871354,1.3916162138350374,all
3.5,10.0,4.0,0.12747412376707978,1.2840730130555702,1.4341536767687912,all
3.5,10.0,4.5,0.10996160949330896,1.2983448814533542,1.4655995579452405,all
3.5,10.0,5.0,0.0952131102583201,1.3078833864079553,1.4906671932512223,all
3.5,10.0,5.5,0.08198072069240146,1.315839461268614,1.5137388505967564,all
3.5,10.0,6.0,0.07202697841344725,1.3177819296581594,1.5265725258894336,all
3.5,10.0,6.5,0.06314492675179673,1.3191110653009301,1.537680109260005,all
3.5,10.0,7.0,0.05526410742170532,1.3200445405658796,1.5470851681337645,all
3.5,20.0,3.0,0.2562796981238562,1.2511068911847947,1.4166450070649124,all
3.5,20.0,3.5,0.22725442661572304,1.279393402804468,1.4708618877082105,all
3.5,20.0,4.0,0.19915996367600275,1.3045413634029612,1.523490529050614,all
3.5,20.0,4.5,0.17573032217582146,1.320904516199017,1.5631351331256826,all
3.5,20.0,5.0,0.15531589324557338,1.3322426616077359,1.5952122016609147,all
3.5,20.0,5.5,0.13647981396409375,1.3417820047524773,1.6248063169633904,all
3.5,20.0,6.0,0.1218422009261585,1.344972566145518,1.642134847276134,all
3.5,20.0,6.5,0.10850788594296851,1.3473831304392851,1.657228801503424,all
3.5,20.0,7.0,0.0964414656231594,1.3492496872460877,1.670082375766363,all
3.5,30.0,3.0,0.3593862090591732,1.2578671239090136,1.4839736000063988,all
3.5,30.0,3.5,0.3265695003376621,1.2885678770429898,1.5496099847198859,all
3.5,30.0,4.0,0.29346132750467613,1.3161465316497765,1.61388012567666,all
3.5,30.0,4.5,0.2646439356220178,1.3347076544093301,1.6631872903423923,all
3.5,30.0,5.0,0.23864368552986667,1.3480492979569842,1.7036977252911176,all
3.5,30.0,5.5,0.2139455598772555,1.359430853616094,1.7412380236325298,all
3.5,30.0,6.0,0.1941066168646528,1.3641830099132604,1.7642843182681989,all
3.5,30.0,6.5,0.175633662561007,1.368000790192313,1.7845435514589592,all
3.5,30.0,7.0,0.15856424108128406,1.3711290812234347,1.80197716419087,all
3.5,40.0,3.0,0.47627726267118187,1.2550560492563332,1.5466691977779432,all
3.5,40.0,3.5,0.44249850221155873,1.2878234949471665,1.6248751817181128,all
3.5,40.0,4.0,0.40693858227816093,1.317642694417915,1.7021009044915179,all
3.5,40.0,4.5,0.37460571046238,1.3384037378396674,1.7623158714772131,all
3.5,40.0,5.0,0.34437335620095383,1.353870920674275,1.8124727369667777,all
3.5,40.0,5.5,0.3147777241954886,1.3672920630755985,1.8591632580135697,all
3.5,40.0,6.0,0.290192827804735,1.3738761573959988,1.889002536929214,all
3.5,40.0,6.5,0.26676592997287785,1.3793976447685128,1.9154720813199173,all
3.5,40.0,7.0,0.24463629884530524,1.384097974389938,1.9384874333156972,all
3.5,50.0,3.0,0.5970532434757739,1.2422439210965879,1.6021662502685838,all
3.5,50.0,3.5,0.5656324799186533,1.2765448460503999,1.6939124994097643,all
3.5,50.0,4.0,0.531068744778681,1.3082427149427158,1.7852071059573904,all
3.5,50.0,4.5,0.49820402253711715,1.3310674961719073,1.8573631030606168,all
3.5,50.0,5.0,0.46633191477438024,1.3486673144388914,1.9181261601611097,all
3.5,50.0,5.5,0.43414804077865243,1.3642311124685176,1.9748933604704288,all
3.5,50.0,6.0,0.40648768635117105,1.3728439476947976,2.0123483073818713,all
3.5,50.0,6.5,0.37948532068483476,1.3803073500753886,2.045825867492414,all
3.5,50.0,7.0,0.3533814348882613,1.3868452600909518,2.075176144511232,all
4.0,10.0,3.0,0.25894321131764314,1.292155449864212,1.456111582047058,all
4.0,10.0,3.5,0.23004774459207153,1.322769709604369,1.5133136906267206,all
4.0,10.0,4.0,0.20523140494997993,1.3435273313579246,1.5574867479814498,all
4.0,10.0,4.5,0.1815355042893863,1.361481072056823,1.5997070314740538,all
4.0,10.0,5.0,0.1607794158513429,1.373849119511216,1.633852089274223,all
4.0,10.0,5.5,0.14292664840431638,1.3813844456775437,1.6600487865448952,all
4.0,10.0,6.0,0.1278106042391918,1.38479964920455,1.678491239415497,all
4.0,10.0,6.5,0.11401360591814436,1.3872898089483359,1.6944734796031624,all
4.0,10.0,7.0,0.10259468706558285,1.386650550011812,1.703225738453535,all
4.0,20.0,3.0,0.36751507222014745,1.3004070512312604,1.528415834785062,all
4.0,20.0,3.5,0.33495139929390233,1.3340410139052772,1.5984584598136231,all
4.0,20.0,4.0,0.30561029319336513,1.3576462589036922,1.653766366272241,all
4.0,20.0,4.5,0.2765452165407243,1.3783713741897627,1.7071205757117844,all
4.0,20.0,5.0,0.25010927692822826,1.393251376574238,1.75106835828937,all
4.0,20.0,5.5,0.22658658801066056,1.4029981259435205,1.7855750402187387,all
4.0,20.0,6.0,0.20605172754996437,1.4083255849375609,1.8107630755791442,all
4.0,20.0,6.5,0.1868659311369664,1.4125194797285725,1.8328279042725606,all
4.0,20.0,7.0,0.17056103625750238,1.4133236325581424,1.8461070358831522,all
4.0,30.0,3.0,0.49053406723585,1.2971581864439086,1.5945019727195373,all
4.0,30.0,3.5,0.45749273365794985,1.3333379091846693,1.6787174293178018,all
4.0,30.0,4.0,0.42620552209862167,1.3595993270299285,1.7465886497495737,all
4.0,30.0,4.5,0.39401151717090815,1.3830639468113166,1.8126626768670142,all
4.0,30.0,5.0,0.3635695945230702,1.400590068094878,1.8679951453157138,all
4.0,30.0,5.5,0.335515411656077,1.4128050602640225,1.912320055325067,all
4.0,30.0,6.0,0.3102363043860731,1.4203846760216547,1.9456734492771246,all
4.0,30.0,6.5,0.28602373753233706,1.4266605896353364,1.975193991525418,all
4.0,30.0,7.0,0.26487330731506653,1.4293161163622516,1.9942529226760706,all
4.0,40.0,3.0,0.6163915384778484,1.281875478559604,1.6510684959890078,all
4.0,40.0,3.5,0.5864843577472013,1.319857843735671,1.7505299381560744,all
4.0,40.0,4.0,0.5566552649688237,1.3483477758662372,1.8321638395923336,all
4.0,40.0,4.5,0.5247301016453564,1.3743042239569299,1.912296681535834,all
4.0,40.0,5.0,0.4933084079374828,1.3944304170608162,1.9803202984458042,all
4.0,40.0,5.5,0.46328520964217984,1.4092263849209237,2.0356992723493756,all
4.0,40.0,6.0,0.4353320524657117,1.4192835770094532,2.0783586734715414,all
4.0,40.0,6.5,0.40784705892874723,1.4279298751042357,2.1164390814014027,all
4.0,40.0,7.0,0.38314546725823073,1.4327767393138013,2.1423002562643982,all
4.0,50.0,3.0,0.7320656476192559,1.254965254062026,1.6950319579585702,all
4.0,50.0,3.5,0.7081394185120405,1.293731086160397,1.810648530505503,all
4.0,50.0,4.0,0.6829146671627009,1.3237515971514382,1.9071150566665849,all
4.0,50.0,4.5,0.6547901716698021,1.3516849088374596,2.0025124833805887,all
4.0,50.0,5.0,0.6259385682391416,1.3741255819466551,2.084350286951958,all
4.0,50.0,5.5,0.5973252378325669,1.3914073043104187,2.151778935829321,all
4.0,50.0,6.0,0.5697716106612799,1.4039927762612414,2.2046220957068456,all
4.0,50.0,6.5,0.5419251831334161,1.4151472637657951,2.2520603199810143,all
4.0,50.0,7.0,0.5161542432253713,1.4224029322092193,2.2854467506762552,all
4.5,10.0,3.0,0.37278124659155265,1.342409759593062,1.573592335967479,all
4.5,10.0,3.5,0.3421669127346146,1.3749342831283717,1.640425986216106,all
4.5,10.0,4.0,0.31281501733348355,1.4006458485441093,1.6991897896348045,all
4.5,10.0,4.5,0.28541101816976217,1.4197783652679974,1.7489290713978503,all
4.5,10.0,5.0,0.2587160915959455,1.4360758652328558,1.7957431401781914,all
4.5,10.0,5.5,0.23649816743153101,1.44363641499657,1.8259566121442734,all
4.5,10.0,6.0,0.21547242043364667,1.449520577282149,1.8528376738131178,all
4.5,10.0,6.5,0.1957698641526765,1.4540785537033953,1.8762509833237722,all
4.5,10.0,7.0,0.1789291533545705,1.4549036873606982,1.8902625328962104,all
4.5,20.0,3.0,0.5013030791873322,1.3387338202320536,1.6433183794288055,all
4.5,20.0,3.5,0.47051082196809624,1.3742233752072885,1.7246234230715753,all
4.5,20.0,4.0,0.4395508388613003,1.4031146223719368,1.797456594020719,all
4.5,20.0,4.5,0.4093655853435667,1.4254569520075584,1.8603047097041516,all
4.5,20.0,5.0,0.37887662205090594,1.4449399459839225,1.9200572941180192,all
4.5,20.0,5.5,0.3524299909490186,1.4553757949697863,1.9602898914885318,all
4.5,20.0,6.0,0.32669292016662027,1.4639519333703463,1.9965267376269658,all
